75;18
78;43
89;77
96;57
102;40
122;42
127;87
130;26
165;70
171;71
174;56
195;100
201;50
205;35
205;97
209;5
210;79
212;147
216;102
216;117
216;135
220;112
221;5
221;30
221;144
221;154
222;101
222;116
223;117
223;122
223;161
227;105
228;112
229;8
229;110
230;57
230;161
233;7
234;40
234;160
235;68
235;117
237;97
237;99
238;50
239;108
241;12
242;40
243;8
243;35
244;22
245;5
245;161
246;2
246;30
249;8
252;161
253;97
255;5
255;70
257;122
258;108
263;7
263;68
263;159
264;133
265;117
271;161
272;2
272;8
273;56
280;59
283;34
286;5
288;106
289;30
291;81
291;105
292;128
292;161
293;8
293;150
294;56
294;133
295;37
295;149
297;112
298;123
299;65
299;79
301;72
301;134
302;86
303;55
310;34
314;91
317;61
317;89
318;42
318;85
318;134
320;26
320;87
321;83
321;107
322;66
322;86
323;35
325;59
326;54
326;60
326;134
330;61
331;17
332;35
332;42
333;27
333;54
334;0
337;5
337;139
338;1
339;22
339;31
339;102
340;161
342;5
342;27
342;68
342;105
342;151
344;122
344;161
345;54
345;160
346;1
346;25
347;60
347;111
348;5
348;31
348;150
349;68
349;94
349;161
352;3
352;22
352;27
352;107
353;1
354;161
355;44
357;5
357;141
358;12
359;68
359;98
359;161
360;2
361;106
362;107
363;14
363;60
363;161
364;84
364;130
364;136
365;77
366;6
366;133
367;40
367;94
367;111
368;27
368;35
368;161
369;105
370;97
370;99
371;83
371;134
372;68
372;162
373;127
374;108
374;142
374;161
376;159
378;35
378;55
378;113
378;122
379;136
379;161
380;27
380;59
381;99
381;152
381;157
382;142
383;134
383;161
384;97
384;109
385;122
386;5
386;27
387;108
387;128
387;161
390;7
390;159
391;122
392;99
393;27
393;127
393;160
394;161
395;25
397;108
397;122
398;5
398;54
399;22
402;161
404;1
404;5
404;99
407;27
407;50
413;63
414;161
416;56
420;27
429;134
440;155
442;150
443;107
447;27
448;102
450;78
451;107
452;9
457;79
459;27
461;107
461;130
465;158
466;133
469;62
469;161
471;15
474;9
474;142
476;59
476;107
477;26
477;27
477;123
478;75
478;161
479;18
480;3
480;5
481;7
481;31
481;105
481;111
482;1
483;133
484;27
484;97
484;98
485;68
486;2
486;99
486;110
486;111
486;141
487;12
487;22
487;94
487;161
488;108
488;121
489;80
490;3
490;27
490;97
490;161
491;5
491;99
491;157
492;7
492;113
492;115
492;122
493;67
493;108
493;127
493;152
493;159
494;1
494;40
494;68
494;83
494;94
494;109
494;136
494;141
494;161
495;57
495;97
495;98
495;99
495;122
495;128
496;2
496;22
496;27
496;35
496;45
496;160
497;25
497;157
497;161
498;5
498;12
498;50
498;108
498;152
499;7
499;14
499;99
499;109
499;122
499;159
500;3
500;40
500;97
500;136
501;35
501;60
501;85
501;98
501;161
502;1
502;5
502;27
502;31
502;79
502;83
502;122
502;127
503;22
503;57
503;68
503;99
503;108
503;115
503;134
504;35
504;109
504;152
504;161
505;2
505;74
505;122
505;157
505;159
506;50
506;81
506;97
506;160
507;7
507;12
507;27
507;108
507;136
507;161
508;3
508;35
508;61
508;79
508;99
509;1
509;5
509;25
509;109
509;122
510;57
511;22
511;83
511;89
511;127
511;161
512;27
512;35
512;56
512;99
512;122
512;159
513;36
513;64
513;68
513;70
513;97
513;108
513;128
513;160
514;1
514;79
515;5
515;7
515;12
515;50
515;109
515;122
515;161
516;55
516;152
517;2
517;27
517;81
517;85
518;22
518;108
518;161
519;14
519;79
519;83
519;98
519;115
519;122
520;128
520;134
521;3
521;5
521;97
521;133
521;159
522;7
522;36
522;70
522;161
523;16
523;27
523;63
523;108
523;109
523;122
524;25
524;35
524;42
524;117
525;1
525;12
525;50
525;55
525;68
525;79
525;161
526;5
526;22
526;157
526;160
527;2
527;27
527;81
527;85
527;99
527;122
527;134
528;3
528;89
528;97
528;128
528;161
529;7
530;79
530;108
530;127
530;159
531;5
531;27
531;35
531;84
531;122
532;161
533;12
533;22
533;55
533;68
534;1
534;99
534;160
535;2
535;7
535;27
535;122
535;161
536;14
537;5
537;25
537;108
538;136
539;3
539;74
539;97
539;99
539;122
539;161
540;7
540;27
540;35
540;61
540;115
542;5
542;22
542;109
542;159
543;1
543;27
543;50
543;108
543;122
543;128
543;160
543;161
545;31
545;35
545;42
545;84
545;99
546;68
546;122
547;12
